Site,date_adjusted,order,CI,BA,year,month,t,t_mod,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,NO2.NO3,NH4,TOC_conc2,DOC,DIC,pH,cond,alk,Ca,K,Mg,Na,SO4,Cl,SiO2,Al,Fe,Mn,Zn,Cd,Cu,Ni,TOC_conc,TN_conc,TOC_conc3
H2,2019-10-02,2,H,B,2019,10,-3,-364,1.353045534,6.225605632,0.8616032965,0.5347116641,13.49348846,8.247151301,3.755731012,0.01249384127,0.01376959062,0.9073502337,0.698,0.195,,1.832,4.217,7.614216805,57.29999924,0.4270867407,6.642998,0.67637,1.457327,1.927671,3.306419282,0.1414980678,12.69,0.017392,0.007509,0.000914,0.001847,0.000008,0.001176,0.000261,N/A,N/A,1.832
H1,2019-10-04,2,H,B,2019,10,-1,-361,1.247567412,7.937990421,0.8881180273,0.474625148,35.62518493,21.06144211,4.539987937,0.01257003572,0.01626004918,0.7730625893,0.26,0.007,,3.986,2.556,7.240293503,31.39999962,0.2130306363,4.027968,0.487813,0.854649,1.206021,2.210491095,0.1290855796,8.83,0.082993,0.027241,0.000454,0.002374,0.000019,0.000864,0.000289,N/A,N/A,3.986
C1,2019-10-05,2,C,B,2019,10,0,-360,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.041,0.003,,6.778,2.147,7.118937016,26.60000038,0.1728936434,3.866826,0.398227,0.711288,0.899055,2.151934883,0.1083007009,7.65,0.144876,0.076949,0.001871,0.004052,0.000015,0.002618,0.000439,N/A,N/A,6.778
C2,2019-10-07,2,C,B,2019,10,2,-362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.014,0.012,,5.443,1.935,6.568482876,22,0.1227191538,3.258682,0.253086,0.418741,0.815276,2.374453933,0.1431928433,7.02,0.151013,0.013866,0.002033,0.002976,0.000076,0.001898,0.00037,N/A,N/A,5.443
C1,2019-10-16,3,C,B,2019,10,11,-353,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.004,0.019,,7.496,1.328,6.818833351,21,0.1402060837,3.113936,0.475768,0.620729,0.807696,1.572278344,0.1229732413,7.47,0.201414,0.094599,0.001455,0.004244,0.000017,0.002329,0.000357,N/A,N/A,7.496
H1,2019-10-17,3,H,B,2019,10,12,-352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.269,0.007,,2.001,2.352,6.838937283,26.70000076,0.1623496711,3.283222,0.332841,0.546565,1.000972,2.355608777,0.125014105,8.13,0.049144,0.045969,0.003973,0.003311,0.000035,0.000882,0.000304,N/A,N/A,2.001
C2,2019-10-20,3,C,B,2019,10,15,-349,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.003,,5.659,1.744,6.91505003,20.39999962,0.1201328561,2.768098,0.255476,0.363541,0.741517,1.825916325,0.2590083245,6.81,0.158155,0.012958,0.003649,0.005953,0.000043,0.002184,0.00395,N/A,N/A,5.659
H2,2019-10-21,3,H,B,2019,10,16,-348,1.448801966,5.311528062,0.8415597633,0.5762750039,13.47625395,8.206965177,3.738964257,0.01252897194,0.01426994084,0.8779974689,0.476,0.003,,1.889,3.73,7.423841953,43.70000076,0.3084512949,5.525607,0.513502,1.121115,1.540106,2.881057851,0.1424614146,10.51,0.030777,0.0055,0.000289,0.004221,0.000019,0.000651,0.000417,N/A,N/A,1.889
H1,2020-06-01,4,H,B,2020,6,240,-124,1.35505293,4.099588943,0.8039057636,0.4569394105,10.33032088,6.15441219,4.860699946,0.01382353599,0.01799827365,0.7680478836,N/A,N/A,1.581208655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131.65,46.38,1.581208655
C2,2020-06-01,4,C,B,2020,6,240,-124,1.324328271,12.38559744,0.9252928378,0.4957294524,19.47011776,10.54441552,5.909414792,0.01529419686,0.02092460965,0.7309191003,N/A,N/A,3.138516017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,261.31,12.63,3.138516017
C1,2020-06-01,4,C,B,2020,6,240,-124,1.292221136,14.38864664,0.9350170276,0.4634532401,40.82953118,24.01452025,4.868701599,0.01294953732,0.01834048697,0.7060628945,N/A,N/A,4.321690074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,359.82,18.05,4.321690074
H2,2020-06-01,4,H,B,2020,6,240,-124,1.541146549,1.638656821,0.6210193035,0.534029148,4.785093961,2.984390676,4.184938105,0.01339410102,0.01559138771,0.8590704863,N/A,N/A,0.889032014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.02,62.73,0.889032014
H1,2020-07-01,5,H,B,2020,7,270,-94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.900442179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.97,56.03,0.900442179
