Parameter,Treatment,Period,N,Mean,SD,Min,Max
fi,Control,Before,7,1.2502,0.0629,1.1842,1.3277
fi,Control,After,18,1.2928,0.0614,1.2058,1.4163
fi,Harvest,Before,10,1.4233,0.1539,1.2476,1.7519
fi,Harvest,After,18,1.4566,0.1563,1.2269,1.7616
hix,Control,Before,7,16.1682,2.4709,12.3856,19.1593
hix,Control,After,18,13.189,3.6267,6.4446,17.5244
hix,Harvest,Before,10,5.1057,1.8869,1.6387,7.938
hix,Harvest,After,18,4.9574,2.3056,2.555,9.5617
mhix,Control,Before,7,0.9407,0.0089,0.9253,0.9504
mhix,Control,After,18,0.924,0.0236,0.8657,0.946
mhix,Harvest,Before,9,0.8361,0.0395,0.7706,0.8881
mhix,Harvest,After,18,0.8082,0.0676,0.7187,0.9053
bix,Control,Before,7,0.4493,0.0281,0.4146,0.4957
bix,Control,After,15,0.4463,0.0231,0.4111,0.5063
bix,Harvest,Before,10,0.5332,0.0507,0.4569,0.5931
bix,Harvest,After,18,0.6097,0.1161,0.4562,0.8577
a254,Control,Before,7,41.2683,13.4348,19.4701,59.7201
a254,Control,After,18,51.9692,21.118,26.4032,106.5315
a254,Harvest,Before,9,7.3667,4.3272,2.7182,13.4935
a254,Harvest,After,18,11.1363,4.4839,5.5129,22.1696
a300,Control,Before,7,23.2135,7.8887,10.5444,33.7938
a300,Control,After,18,29.9357,13.0002,14.3773,62.3706
a300,Harvest,Before,9,4.3455,2.7242,1.2843,8.2472
a300,Harvest,After,18,6.6107,2.7987,3.0256,13.1112
E2_E3,Control,Before,6,5.4315,0.389,4.8687,5.9094
E2_E3,Control,After,18,5.1948,0.4113,4.6089,5.8316
E2_E3,Harvest,Before,8,5.1154,1.4346,3.739,7.7938
E2_E3,Harvest,After,16,4.5658,0.4508,3.7419,5.2319
S275_295,Control,Before,7,0.0141,0.001,0.0129,0.0155
S275_295,Control,After,18,0.0135,0.001,0.0118,0.0149
S275_295,Harvest,Before,8,0.0131,0.0005,0.0125,0.0138
S275_295,Harvest,After,17,0.0125,0.001,0.0106,0.0142
S350_400,Control,Before,6,0.0199,0.0012,0.0183,0.0214
S350_400,Control,After,18,0.0187,0.001,0.0175,0.0208
S350_400,Harvest,Before,9,0.018,0.0056,0.01,0.0271
S350_400,Harvest,After,17,0.0167,0.0023,0.0135,0.0211
SR,Control,Before,6,0.6963,0.0281,0.6479,0.7309
SR,Control,After,16,0.7085,0.028,0.6653,0.7756
SR,Harvest,Before,8,0.7259,0.1639,0.4786,0.9074
SR,Harvest,After,18,0.7534,0.1008,0.6079,0.8982
NO2.NO3,Control,Before,8,0.0998,0.1177,0.0,0.291
NO2.NO3,Control,After,14,0.0407,0.0228,-0.001,0.088
NO2.NO3,Harvest,Before,8,0.5845,0.2308,0.26,0.914
NO2.NO3,Harvest,After,16,0.6439,0.1907,0.337,1.043
NH4,Control,Before,8,0.0098,0.0079,0.002,0.023
NH4,Control,After,15,0.0087,0.0064,0.001,0.021
NH4,Harvest,Before,7,0.0054,0.0029,0.002,0.01
NH4,Harvest,After,16,0.0044,0.0056,-0.002,0.018
TOC_conc2,Control,Before,7,5.0547,1.2523,3.1385,6.8444
TOC_conc2,Control,After,6,5.5859,0.9511,4.7542,7.1762
TOC_conc2,Harvest,Before,8,1.1423,0.288,0.8225,1.5812
TOC_conc2,Harvest,After,6,1.7731,0.3453,1.4101,2.1773
DOC,Control,Before,8,6.1295,1.0568,4.143,7.496
DOC,Control,After,15,5.5279,1.4632,3.323,8.757
DOC,Harvest,Before,7,1.4116,0.477,0.879,2.001
DOC,Harvest,After,14,1.2674,0.2623,0.862,1.804
DIC,Control,Before,8,2.3846,0.8423,1.328,3.851
DIC,Control,After,15,2.2734,0.5556,1.466,3.55
DIC,Harvest,Before,7,3.208,0.7033,2.352,4.217
DIC,Harvest,After,16,4.2371,1.1897,1.986,6.019
pH,Control,Before,8,6.8669,0.1763,6.5685,7.1189
pH,Control,After,17,6.7403,0.1956,6.4302,7.1776
pH,Harvest,Before,8,7.1085,0.3086,6.7568,7.6142
pH,Harvest,After,16,6.8633,0.275,6.4647,7.3229
cond,Control,Before,8,29.0625,8.2294,20.4,43.4
cond,Control,After,17,27.9294,6.529,19.13,44.1
cond,Harvest,Before,8,46.6875,15.3229,26.7,67.3
cond,Harvest,After,16,47.1375,12.0894,25.9,65.4
alk,Control,Before,8,0.1913,0.0692,0.1201,0.2865
alk,Control,After,17,0.2199,0.079,0.1081,0.3915
alk,Harvest,Before,8,0.3367,0.1349,0.1623,0.5203
alk,Harvest,After,16,0.3523,0.1165,0.1567,0.5572
Ca,Control,Before,8,3.9122,0.8576,2.7681,5.2607
Ca,Control,After,16,3.5343,0.838,2.3783,5.4139
Ca,Harvest,Before,8,5.6831,1.8232,3.2832,8.1974
Ca,Harvest,After,16,5.6187,1.4987,2.9803,7.9347
K,Control,Before,8,0.3992,0.1764,0.1911,0.7443
K,Control,After,16,0.3609,0.0832,0.2052,0.4914
K,Harvest,Before,8,0.4769,0.127,0.3231,0.6764
K,Harvest,After,15,0.3902,0.0652,0.3077,0.5174
Mg,Control,Before,8,0.6457,0.2125,0.3635,0.9745
Mg,Control,After,17,0.6981,0.2846,0.3433,1.2879
Mg,Harvest,Before,8,1.1585,0.4305,0.5466,1.7228
Mg,Harvest,After,16,1.1356,0.3572,0.5308,1.6555
Na,Control,Before,8,0.9171,0.1379,0.7415,1.1193
Na,Control,After,17,0.979,0.1838,0.7013,1.2831
Na,Harvest,Before,8,1.6003,0.4667,1.001,2.2244
Na,Harvest,After,16,1.5559,0.4273,0.916,2.246
SO4,Control,Before,8,2.3993,0.8839,1.5723,3.7949
SO4,Control,After,16,1.592,0.3512,0.9938,2.0641
SO4,Harvest,Before,8,2.8887,0.5062,2.2105,3.6066
SO4,Harvest,After,16,2.6714,0.4948,2.026,3.387
Cl,Control,Before,7,0.1161,0.033,0.0784,0.1705
Cl,Control,After,14,0.1371,0.0143,0.1072,0.1655
Cl,Harvest,Before,8,0.1322,0.0084,0.1218,0.1425
Cl,Harvest,After,16,0.1716,0.0505,0.1031,0.2692
SiO2,Control,Before,8,7.8612,0.7299,6.81,8.81
SiO2,Control,After,14,8.1686,0.9037,6.61,9.44
SiO2,Harvest,Before,8,11.4612,2.705,8.13,16.05
SiO2,Harvest,After,16,10.2644,3.5516,2.93,14.68
Al,Control,Before,8,0.1364,0.0446,0.0738,0.2014
Al,Control,After,17,0.1232,0.0596,0.0268,0.2456
Al,Harvest,Before,8,0.0361,0.0233,0.0163,0.083
Al,Harvest,After,14,0.0208,0.0095,0.0042,0.044
Fe,Control,Before,8,0.0587,0.0394,0.013,0.1133
Fe,Control,After,17,0.0849,0.0763,0.0127,0.2633
Fe,Harvest,Before,7,0.0132,0.0075,0.0055,0.0272
Fe,Harvest,After,16,0.0146,0.0075,0.0063,0.0295
Mn,Control,Before,8,0.0064,0.0055,0.0015,0.0139
Mn,Control,After,16,0.0067,0.0055,0.0006,0.0193
Mn,Harvest,Before,8,0.0023,0.0018,0.0003,0.0049
Mn,Harvest,After,14,0.0027,0.0012,0.0008,0.0052
Zn,Control,Before,7,0.0038,0.0012,0.0023,0.006
Zn,Control,After,15,0.0043,0.0011,0.0026,0.0067
Zn,Harvest,Before,7,0.0028,0.0009,0.0018,0.0042
Zn,Harvest,After,15,0.0038,0.0023,0.0012,0.0086
Cd,Control,Before,7,0.0,0.0,0.0,0.0
Cd,Control,After,17,0.0,0.0,0.0,0.0
Cd,Harvest,Before,6,0.0,0.0,0.0,0.0
Cd,Harvest,After,15,0.0,0.0,0.0,0.0
Cu,Control,Before,8,0.0019,0.0005,0.001,0.0026
Cu,Control,After,16,0.002,0.0005,0.0011,0.0031
Cu,Harvest,Before,7,0.001,0.0002,0.0007,0.0013
Cu,Harvest,After,16,0.0014,0.0007,0.0004,0.0026
Ni,Control,Before,7,0.0004,0.0001,0.0001,0.0006
Ni,Control,After,16,0.0003,0.0001,0.0,0.0005
Ni,Harvest,Before,7,0.0003,0.0001,0.0002,0.0004
Ni,Harvest,After,16,0.0002,0.0001,0.0,0.0004
TOC_conc,Control,Before,7,420.8486,104.2636,261.31,569.86
TOC_conc,Control,After,6,465.0792,79.1862,395.83,597.485
TOC_conc,Harvest,Before,8,95.1062,23.9807,68.48,131.65
TOC_conc,Harvest,After,6,147.6283,28.7531,117.4,181.28
TN_conc,Control,Before,7,25.4529,10.1737,12.63,38.78
TN_conc,Control,After,5,16.826,0.8987,16.33,18.43
TN_conc,Harvest,Before,8,55.6488,6.9212,46.38,66.93
TN_conc,Harvest,After,4,34.8775,5.8262,29.07,41.69
TOC_conc3,Control,Before,11,5.5235,1.2821,3.1385,7.496
TOC_conc3,Control,After,15,5.503,1.4893,3.323,8.757
TOC_conc3,Harvest,Before,11,1.3509,0.4327,0.8225,2.001
TOC_conc3,Harvest,After,15,1.3911,0.4039,0.862,2.1773
